CECOTEC,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_11,__EMPTY_12,__EMPTY_14,__EMPTY_15
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO","TOTAL","IVA 21% + RECARGO 5,2%","MARGEN ","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"03965","BATIDORA MANO KATANA 12 JAR G","2","25.67",,"25.67","32.395540000000004",,"39.9","45","12.604459999999996","25.208919999999992",,
"03975","BATIDORA MANO KATANA 1500W CHOP","2","36.49",,"36.49","46.050380000000004",,,"55","8.949619999999996","17.899239999999992",,
"BATIDORAS VASO",,,,,"0","0",,,,,,,
"03883","BATIDORA VASO POWER BLACK TITANIUM - RETRO AZUL","1","24.87",,"24.87","31.38594",,"39.9","45","13.614059999999998","13.614059999999998",,
"03935","BATIDORA VASO RETRO ROJO","2","18.63",,"18.63","23.51106",,"29.9","35","11.48894","22.97788","1","1"
"03987","BATIDORA VASO POWER TITANIUM 500 EASYGO","2","18.63",,"18.63","23.51106",,"29.9","30","6.4889399999999995","12.977879999999999","1","1"
"04310","BATIDORA VASO 2500W - BOTELLA REGALO","2","49.79",,"49.79","62.83498",,"79.9","79","16.16502","32.33004","1","1"
,,,,,"0","0",,,,"0","0",,
"CAFETERAS",,,,,"0","0",,,,,,,
"01621","CAFETERA ITALIANA INDUCCION 4T","2","22.84",,"22.84","28.82408",,"34.9","35","6.175920000000001","12.351840000000003",,
"01669","CAFETERA ITALIANA ALUMINIO 12TAZAS - ","3","11.46",,"11.46","14.462520000000001",,"17.9","18","3.5374799999999986","10.612439999999996",,
"00274","CAFETERA 66 DROP&THERMO TIME","1","27.22",,"27.22","34.351639999999996",,,"40","5.648360000000004","5.648360000000004",,
"01595","CAFETERA EXPRESSO CUMBIA CAPRICCIOSA BLANCA","2","52.49",,"52.49","66.24238",,"79.9","69","2.757620000000003","5.515240000000006",,
"01723","CAFETERA POWER EXPRESSO 20 RETRO VERDE","1","57.54",,"57.54","72.61548",,"89.9","89","16.384519999999995","16.384519999999995",,
"01585","CAFETERA EXPRESSO VINTAGE BEIGE","2","53.86",,"53.86","67.97132",,"99.9","99","31.028679999999994","62.05735999999999",,
"01651","CAFETERA EXPRESSO CAFELIZZIA 790 NEGRO","2","57.04",,"57.04","71.98448",,"99.9","89","17.015519999999995","34.03103999999999",,
"01727","CAFETERA VINTAGE ROJO","3","62.93",,"62.93","79.41766",,"89.99","90","10.582340000000002","31.747020000000006","2","1"
"01629","CAFETERA VINTAGE AMARILLA","1","65.38",,"65.38","82.50956",,"99.9","99","16.490440000000007","16.490440000000007",,
"01557","CAFETERA SEMIAUTOMATICA POWER-INSTANT SERIE BIANCA","1","84.43",,"84.43","106.55066000000001",,"129","129","22.449339999999992","22.449339999999992",,
,,,,,"0","0",,,,,,,
"CALEFACCIÓN",,,,,"0","0",,,,,,,
"08268","CHIMENEA ELÉCTRICA READYWARM 2000 FLAMES","6","40.11",,"40.11","50.61882",,"59.9","55","4.3811800000000005","26.287080000000003","5","3"
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
"DEPILADORAS/CORTAPELOS",,,,,"0","0",,,,,,,
"04334","DEPILADORA BAMBA SKINCARE DEPIL-ACTION","2","13.56",,"13.56","17.11272",,"19.9","25","7.8872800000000005","15.774560000000001","1","1"
"04443","AFEITADORA DE CABEZA","3","16.63",,"16.63","20.98706",,"26.9","29","8.01294","24.03882",,
"04194","MULTIGROMING 10EN1 - TWISTGROOM CORTAPELOS","2","27.93",,"27.93","35.24766",,"39.9","45","9.752339999999997","19.504679999999993",,
,,,,,"0","0",,,,"0","0",,
"EXPRIMIDOR",,,,,"0","0",,,,,,,
"03351","EXPRIMIDOR ZITRA STEEL","1","11.05",,"11.05","13.945100000000002",,"16.9","19","5.054899999999998","5.054899999999998",,
"03899","EXPRIMIDOR BRAZO ROJO XQUEEZE RETROJUICE 600","2","22.89",,"22.89","28.88718",,"32.9","35","6.112819999999999","12.225639999999999","1","1"
"03892","EXPRIMIDOR ESSENTIAL HYDEN 120","2","16.63",,"16.63","20.98706",,"24.9","30","9.01294","18.02588","1","1"
"03951","EXPRIMIDOR TOWERADJUST EASY STEEL","2","20.8",,"20.8","26.2496",,"29.9","35","8.750399999999999","17.500799999999998",,
,,,,,"0","0",,,,"0","0",,
"FREIDORAS",,,,,"0","0",,,,,,,
"03291","150 PIEZAS DE PAPEL FREIDORA AIRE DE 5 A 6,5L","10","5.22",,"5.22","6.5876399999999995",,"7.9","8","1.4123600000000005","14.123600000000005","5","5"
"03341","ACCESORIOS FREIDORA AIRE","10","3.82",,"3.82","4.82084",,"5.9","8","3.1791600000000004","31.791600000000003","1","9"
"04965","FREIDORA AIRE - CECOFRY FANTASTIK VENTANA - 5,5L","2","51.21",,"51.21","64.62702",,"79.9","85","20.37298","40.74596","1","1"
"03292","FREIDORA AIRE - CECOFRY DUOHEAT 6L","3","59.44",,"59.44","75.01328",,"129.9","99","23.986720000000005","71.96016000000002","1","2"
,,,,,"0","0",,,,"0","0",,
"FRÍGORIFICOS ",,,,,"0","0",,,,,,,
"02157","FRIGORÍFICO BOLERO 1 PUERTA 85CM NEGRO (114L)","1","110.34",,"110.34","139.24908",,"169","189","49.75092000000001","49.75092000000001",,
"02674","FRIGORÍFICO BOLERO 1 PUERTA 85CM INOX","3","126.55",,"126.55","159.7061",,"189","219","59.29390000000001","177.88170000000002","1","2"
"01899","FRIGORÍFICO BOLERO 2P. ORIGEN 86 - GREEN E","1","146.27",,"146.27","184.59274000000002",,"229","229","44.40725999999998","44.40725999999998",,
,,,,,"0","0",,,,"0","0",,
"FUN COOKING",,,,,"0","0",,,,,,,
"08022","CREPERA FUN CREPELICIOUS","2","16.76",,"16.76","21.151120000000002",,"26.95","29","7.848879999999998","15.697759999999995","1","1"
"08018","FONDUE ELECTRICA CHOCOLATE","1","24.87",,"24.87","31.38594",,"39.9","40","8.614059999999998","8.614059999999998",,
"03200","GOFRERA - SANDWICHERA ROCK TOAST FAMILY ","2","22.07",,"22.07","27.85234",,"33.9","35","7.147659999999998","14.295319999999997",,
"03261","PALOMITERO FUN&TASTEP´CORN","2","14.27",,"14.27","18.00874",,"22.9","25","6.9912600000000005","13.982520000000001","1","1"
"04861","PALOMITERO FUN&TASTEP´CORN lotus","2","18.91",,"18.91","23.86442",,"29.9","35","11.135580000000001","22.271160000000002",,
,,,,,"0","0",,,,"0","0",,
"HERRAMIENTAS",,,,,"0","0",,,,"0","0",,
"70020","PISTOLA SILICONA","6","13.63",,"13.63","17.201060000000002",,"19.9","25","7.798939999999998","46.79363999999999","1","5"
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
"NEVERAS",,,,,"0","0",,,,"0","0",,
"02685","FRIGORÍFICO BOLERO HABANA NEGRO 4L","2","27.28",,"27.28","34.42736",,"42.9","45","10.57264","21.14528","1","1"
"02689","FRIGORÍFICO BOLERO HABANA NEGRO 4L","1","27.28",,"27.28","34.42736",,"42.9","45","10.57264","10.57264",,
"02695","FRIGORÍFICO BAMBA BLANCO 6L","2","38.09",,"38.09","48.06958",,"52.9","55","6.930419999999998","13.860839999999996","1","1"
"04441","FRIGORÍFICO BAMBA ESPEJO 6L","2","34.1",,"34.1","43.034200000000006",,"52.9","55","11.965799999999994","23.93159999999999","1","1"
,,,,,"0","0",,,,"0","0",,
"LAVADORAS",,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
"LAVAVAJILLAS",,,,,"0","0",,,,"0","0",,
"02774","LAVAVAJILLAS BOLERO AGUAZERO 6200 NEGRO ""D"" ","3","198.31",,"198.31","250.26722",,"309","339","88.73277999999999","266.19834","2","1"
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
"MICROONDAS",,,,,"0","0",,,,"0","0",,
"01704","MICROONDAS 20L 3010 PROCLEAN, RETRO CREMA","1","40",,"40","50.480000000000004",,"59.9","65","14.519999999999996","14.519999999999996",,
"01706","MICROONDAS 20L GRILL, 3110, RETRO AZUL","4","43.34",,"43.34","54.695080000000004",,"64.9","65","10.304919999999996","41.21967999999998","2","2"
"01711","MICROONDAS 20L GRILL, 5110, digital RETRO AZUL ","1","43.34",,"43.34","54.695080000000004",,"69.9","75","20.304919999999996","20.304919999999996",,
"01713","MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO","1","44",,"44","55.528",,"69.9","75","19.472","19.472",,
"01713","MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO","1","0",,"0","0",,"69.9","75","75","75",,
"A01_EU01_100518","MICROONDAS 20L PROCLEAN 3120 - INOX ESPEJO SIN PLATO","3","53.36",,"53.36","67.34032",,"79.9","85","17.659679999999994","52.97903999999998","1","2"
"01399","MICROONDAS SIN PLATO GRANDHEAT 2010 FLATBED STEEL","2","60.04",,"60.04","75.77048",,"89.9","89","13.229519999999994","26.459039999999987","1","1"
"01405","MICROONDAS 25L SIN PLATO GRANDHEAT 2500-NEGRO","2","74.17",,"74.17","93.60254",,"109.9","119","25.397459999999995","50.79491999999999","1","1"
"01359","MICROONDAS 23L SIN PLATO GRANDHEAT 2300 - BLANCO","2","67.43",,"67.43","85.09666000000001",,"99.9","109","23.903339999999986","47.80667999999997","1","1"
"01537","Microondas digital de 23 litros - PROCLEAN 6110","1","56.7",,"56.7","71.5554",,,"109","37.444599999999994","37.444599999999994",,
"A01_EU01_100513","MICROONDAS 20L PROCLEAN 3030 - NEGRO SIN PLATO","2","49.35",,"49.35","62.279700000000005",,"89.9","79","16.720299999999995","33.44059999999999",,
"A01_EU01_100516","MICROONDAS 20L PROCLEAN 3120 - BLANCO SIN PLATO","2","50.02",,"50.02","63.125240000000005",,"75.9","79","15.874759999999995","31.74951999999999",,
"A01_EU01_101130","MICROONDAS 20L CON GRILL - 700W - AZUL","2","70.06",,"70.06","88.41572000000001",,"104.9","110","21.584279999999993","43.168559999999985",,
"A01_EU01_101132","MICROONDAS 20L CON GRILL - 700W - VERDE","2","70.06",,"70.06","88.41572000000001",,"104.9","110","21.584279999999993","43.168559999999985",,
,,,,,"0","0",,,,"0","0",,
"MINIHORNO",,,,,"0","0",,,,"0","0",,
"03811","HORNO SOBREMESA 10L BLANCO","4","21.3",,"21.3","26.8806",,"31.9","39","12.119399999999999","48.477599999999995",,
"03812","HORNO SOBREMESA 23L BLANCO BAKE&TOAST","2","38.34",,"38.34","48.38508",,"59.9","65","16.614919999999998","33.229839999999996",,
"03813","HORNO SOBREMESA 26L BLANCO (4PIZZA)","2","50",,"50","63.1",,"69.9","79","15.899999999999999","31.799999999999997","1","1"
"03814","HORNO SOBREMESA 30L BLANCO","2","52.02",,"52.02","65.64924",,"77.9","89","23.350759999999994","46.70151999999999","1","1"
,,,,,"0","0",,,,"0","0",,
"PLANCHAS-COCINA",,,,,"0","0",,,,"0","0",,
"03069","PLACA DE INDUCCIÓN PORTATIL FULL RYSTAL ONYX","2","27.42",,"27.42","34.604040000000005",,"41.9","49","14.395959999999995","28.79191999999999",,
"03088","PLANCHA DE ASAR TASTY&GRILL 3000","2","28.1",,"28.1","35.4622",,"39.9","45","9.537799999999997","19.075599999999994",,
,,,,,"0","0",,,,"0","0",,
"PLANCHAS-ROPA",,,,,"0","0",,,,"0","0",,
"05543","PLANCHA VERTICAL (FAST&FURIOUS) 4010 VITAL","2","19.69",,"19.69","24.84878",,"29.9","29","4.151219999999999","8.302439999999997",,
"01866","CENTRO PLANCHADO VERTICAL","2","49.73",,"49.73","62.75926",,"79.9","65","2.2407400000000024","4.481480000000005","1","1"
"01872","PLANCHA ROPA IRONHERO3200 FORCE","2","18.8",,"18.8","23.7256",,"36.9","35","11.2744","22.5488","1","1"
"05535","CENTRO PLANCHADO-Fast&Furious 8040 Absolute ","2","66.12",,"66.12","83.44344000000001",,"99","99","15.55655999999999","31.11311999999998",,
,,,,,"0","0",,,,"0","0",,
"SARTENES/OLLAS",,,,,"0","0",,,,"0","0",,
"03130","SET SARTENES POLKA 18-22-26 (ROSA)","2","24.26",,"24.26","30.616120000000002",,"39.9","39","8.383879999999998","16.767759999999996",,
"03130","SET SARTENES POLKA 18-22-26 (AMARILLO)","2","24.26",,"24.26","30.616120000000002",,"39.9","39","8.383879999999998","16.767759999999996",,
"03167","1 SARTEN POLKA 18 (NEGRO MANGO TURQUESA)","3","8.45",,"8.45","10.6639",,"13.9","15","4.3361","13.0083",,
,,,,,"0","0",,,,"0","0",,
"SECADORES/PELO",,,,,"0","0",,,,,,,
"00664","PLANCHA PELO RITUAL CARE TWERK","2","30.85",,"30.85","38.932700000000004",,"39.9","45","6.067299999999996","12.134599999999992","1","1"
,,,,,"0","0",,,,"0","0",,
"TERMOS",,,,,"0","0",,,,"0","0",,
"00267","HERVIDOR DE AGUA ELECTRICO WOODY 200 RETRO NEGRO","1","27.52",,"27.52","34.73024",,,"45","10.269759999999998","10.269759999999998",,
"01485","HERVIDOR THERMOSENSE VINTAGE - BEIGE","1","28.89",,"28.89","36.45918",,"44.9","45","8.540819999999997","8.540819999999997",,
"01483","HERVIDOR THERMOSENSE VINTAGE - VERDE","1","28.89",,"28.89","36.45918",,"44.9","45","8.540819999999997","8.540819999999997",,
,,,,,"0","0",,,,"0","0",,
"TOSTADOR",,,,,"0","0",,,,"0","0",,
"03179","TOSTADOR 9000 DOBLE NEGRO","2","16.27",,"16.27","20.53274",,"24.9","29","8.46726","16.93452",,
"03105","TOSTADOR 8000 DOBLE RETRO BLUE","2","23.98",,"23.98","30.26276",,"35.9","40","9.73724","19.47448","1","1"
,,,,,"0","0",,,,"0","0",,
"VENTILADORES",,,,,"0","0",,,,"0","0",,
"08210","VENTILADOR ROSA RETRO DESK 400","2","17.55",,"17.55","22.1481",,"29.9","30","7.8519000000000005","15.703800000000001",,
"08208","VENTILADOR BEIGE RETRO - 800","2","22.83",,"22.83","28.811459999999997",,"38.9","39","10.188540000000003","20.377080000000007",,
,,,,,"0","0",,,,"0","0",,
"PLACAS/VITRO",,,,,"0","0",,,,"0","0",,
"02450","PLACA INDUCCIÓN BOLERO SQUAD - 2 FUEGOS","2","67.73",,"67.73","85.47526",,"99.9","119","33.524739999999994","67.04947999999999",,
"A01_EU01_100188","PLACA GAS 43 FUEGOS INOX - 60CM","1","91.9",,"91.9","115.9778",,"139","139","23.022199999999998","23.022199999999998",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
"OTROS",,,,,"0","0",,,,"0","0",,
"04181","JARRA PURIFICADORA AGUA H2ONATURE 2400","3","15.15",,"15.15","19.1193",,"23.9","25","5.880700000000001","17.642100000000003",,
"02310","SACACORCHOS ELÉCTRICO INSTANTCORK 1000","2","16.27",,"16.27","20.53274",,"24.9","29","8.46726","16.93452",,
"04109","HERVIDOR VAPOVITA 3000 INOX - VAPORERA","1","19.29",,"19.29","24.34398",,"29.9","35","10.656020000000002","10.656020000000002",,
"02307","CORTAFIAMBRES ROCK´CUT TWIN","1","51.55",,"51.55","65.0561",,"79.9","85","19.9439","19.9439",,
"03260","ACEITERA SPRAY POLKA ","10","3.82",,"3.82","4.82084",,,"8","3.1791600000000004","31.791600000000003","6","4"
"02229","PANIFICADORA","1","55.12",,"55.12","69.56143999999999",,"79.9","89","19.43856000000001","19.43856000000001",,
"01180","UTENSILIOS COCINA AMARILLO","2","16.67",,"16.67","21.037540000000003",,"25.9","25","3.9624599999999965","7.924919999999993",,
"01181","UTENSILIOS COCINA ROSA","1","16.21",,"16.21","20.45702",,"25.9","25","4.54298","4.54298",,
"01024","SET CUCHILLOS 6 SWISS NEGRO","4","9.98",,"9.98","12.59476",,"15.9","20","7.405239999999999","29.620959999999997","2","2"
"01012","SET CUCHILLOS 7 TITANIUM","5","9.98",,"9.98","12.59476",,"15.9","15","2.405239999999999","12.026199999999996","1","4"
"00644","VAPORETA MANUAL VENTANAS","1","34.97",,"34.97","44.13214",,"49.9","55","10.86786","10.86786",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
